Representative,State,District,Phone,Room,,
"Duncan, Jeff",SC,3d,225-5301,2229,,
"Duncan, John J., Jr.",TN,2d,225-5435,2207,,
"Dunn, Neal P.",FL,2d,225-5235,423,,
"Ellison, Keith",MN,5th,225-4755,2263,,
"Emmer, Tom",MN,6th,225-2331,315,,
"Engel, Eliot L.",NY,16th,225-2464,2462,,
"Eshoo, Anna G.",CA,18th,225-8104,241,,
"Espaillat, Adriano",NY,13th,225-4365,1630,,
"Esty, Elizabeth H.",CT,5th,225-4476,221,,
"Evans, Dwight",PA,2d,225-4001,1105,,
"Farenthold, Blake",TX,27th,225-7742,2331,,
"Faso, John J.",NY,19th,225-5614,1616,,
"Ferguson, A. Drew, IV",GA,3d,225-5901,1032,,
"Fitzpatrick, Brian K.",PA,8th,225-4276,514,,
"Fleischmann, Charles J. ""Chuck""",TN,3d,225-3271,2410,,
"Flores, Bill",TX,17th,225-6105,2440,,
"Fortenberry, Jeff",NE,1st,225-4806,1514,,
"Foster, Bill",IL,11th,225-3515,1224,,
"Foxx, Virginia",NC,5th,225-2071,2262,,
"Frankel, Lois",FL,21st,225-9890,1037,,
"Franks, Trent",AZ,8th,225-4576,2435,,
"Frelinghuysen, Rodney P.",NJ,11th,225-5034,2306,,
"Fudge, Marcia L.",OH,11th,225-7032,2344,,
"Gabbard, Tulsi",HI,2d,225-4906,1433,,
"Gaetz, Matt",FL,1st,225-4136,507,,
"Gallagher, Mike",WI,8th,225-5665,1007,,
"Gallego, Ruben",AZ,7th,225-4065,1218,,
"Garamendi, John",CA,3d,225-1880,2438,,
"Garrett, Thomas A., Jr.",VA,5th,225-4711,415,,
"Gibbs, Bob",OH,7th,225-6265,2446,,
"Gohmert, Louie",TX,1st,225-3035,2243,,
"Gonzalez, Vicente",TX,15th,225-2531,113,,
"González-Colón, Jenniffer",PR,Resident Commissione,225-2615,1529,,
"Goodlatte, Bob",VA,6th,225-5431,2309,,
"Gosar, Paul A.",AZ,4th,225-2315,2057,,
"Gottheimer, Josh",NJ,5th,225-4465,213,,
"Gowdy, Trey",SC,4th,225-6030,2418,,
"Granger, Kay",TX,12th,225-5071,1026,,
"Graves, Garret",LA,6th,225-3901,430,,
"Graves, Sam",MO,6th,225-7041,1135,,
"Graves, Tom",GA,14th,225-5211,2078,,
"Green, Al",TX,9th,225-7508,2347,,
"Green, Gene",TX,29th,225-1688,2470,,
"Griffith, H. Morgan",VA,9th,225-3861,2202,,
"Grijalva, Raúl M.",AZ,3d,225-2435,1511,,
"Grothman, Glenn",WI,6th,225-2476,1217,,
"Guthrie, Brett",KY,2d,225-3501,2434,,
"Gutiérrez, Luis V.",IL,4th,225-8203,2408,,
"Hanabusa, Colleen",HI,1st,225-2726,422,,
"Harper, Gregg",MS,3d,225-5031,2227,,
"Harris, Andy",MD,1st,225-5311,1533,,
"Hartzler, Vicky",MO,4th,225-2876,2235,,
"Hastings, Alcee L.",FL,20th,225-1313,2353,,
"Heck, Denny",WA,10th,225-9740,425,,
"Hensarling, Jeb",TX,5th,225-3484,2228,,
"Herrera Beutler, Jaime",WA,3d,225-3536,1107,,
"Hice, Jody B.",GA,10th,225-4101,324,,
"Higgins, Brian",NY,26th,225-3306,2459,,
"Higgins, Clay",LA,3d,225-2031,1711,,
"Hill, J. French",AR,2d,225-2506,1229,,
"Himes, James A.",CT,4th,225-5541,1227,,
"Holding, George",NC,2d,225-3032,1110,,
"Hollingsworth, Trey",IN,9th,225-5315,1641,,
"Hoyer, Steny H.",MD,5th,225-4131,1705,,
"Hudson, Richard",NC,8th,225-3715,429,,
"Huffman, Jared",CA,2d,225-5161,1406,,
"Huizenga, Bill",MI,2d,225-4401,2232,,
"Hultgren, Randy",IL,14th,225-2976,2455,,
"Hunter, Duncan",CA,50th,225-5672,2429,,
"Hurd, Will",TX,23d,225-4511,317,,
"Issa, Darrell E.",CA,49th,225-3906,2269,,
"Jackson Lee, Sheila",TX,18th,225-3816,2187,,
"Jayapal, Pramila",WA,7th,225-3106,319,,
"Jeffries, Hakeem S.",NY,8th,225-5936,1607,,
"Jenkins, Evan H.",WV,3d,225-3452,1609,,
"Jenkins, Lynn",KS,2d,225-6601,1526,,
"Johnson, Bill",OH,6th,225-5705,1710,,
