1,STATE,STATE ABBREVIATION,D,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL VOTES,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,
54,Alabama,AL,07,n/a,,,,,Party Votes:,R,"16,406",,"21,132",,,,,,,,,
55,Alabama,AL,07,n/a,,,Scattered,Scattered,,W,,,,,138,0.07%,,,,,,
56,Alabama,AL,07,n/a,,,,,District Votes:,,"102,080",,"79,979",,"188,724",,,,,,,
57,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,
58,Alabama,AL,H,n/a,,,,,Total State Votes:,,"474,678",,"145,239",,"1,367,747",,,,,,,
59,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,
60,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,
61,Alabama,AL,S,S6AL00013,(I),Richard C.,Shelby,"Shelby, Richard C.",,R,"405,398",84.35%,,,"968,181",65.18%,,,,,,
62,Alabama,AL,S,S0AL00180,,"N.C. ""Clint""",Moser,"Moser, N.C. ""Clint""",,R,"75,190",15.65%,,,,,,,,,,
63,Alabama,AL,S,n/a,,,,,Party Votes:,R,"480,588",,,,,,,,,,,
64,Alabama,AL,S,S0AL00164,,William G.,Barnes,"Barnes, William G.",,D,"160,993",60.77%,,,"515,619",34.71%,,,,,,
65,Alabama,AL,S,S0AL00172,,Simone D.,De Moore,"De Moore, Simone D.",,D,"103,942",39.23%,,,,,,,,,,
66,Alabama,AL,S,n/a,,,,,Party Votes:,D,"264,935",,,,,,,,,,,
67,Alabama,AL,S,n/a,,,Scattered,Scattered,,W,,,,,"1,699",0.11%,,,,,,
68,Alabama,AL,S,n/a,,,,,Total State Votes:,,"745,523",,,,"1,485,499",,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,
70,Alaska,AK,00,H6AK00045,(I),Don,Young,"Young, Don",,R,"74,310",70.35%,,,"175,384",68.96%,,,,,,
71,Alaska,AK,00,H0AK01038,,Sheldon,Fisher,"Fisher, Sheldon",,R,"24,709",23.39%,,,,,,,,,,
72,Alaska,AK,00,H0AK00097,,John R. ,Cox,"Cox, John R. ",,R,"6,605",6.25%,,,,,,,,,,
73,Alaska,AK,00,n/a,,,,,Party Votes:,R,"105,624",,,,,,,,,,,
74,Alaska,AK,00,H0AK00089,,"Harry T., Jr.",Crawford,"Crawford, Harry T., Jr.",,D,"38,673",100.00%,,,"77,606",30.51%,,,,,,
